center_id,center_name
506,Ann Arbor
508,Atlanta
512,Baltimore
516,Bay Pines
523,Boston
526,Bronx
528,Albany
541,Cleveland
546,Miami
548,West Palm Beach
549,Dallas
552,Dayton
553,Detroit
558,Durham
561,East Orange
578,Hines
580,Houston
583,Indianapolis
586,Jackson
589,Kansas City
600,Long Beach
614,Memphis
618,Minneapolis
621,"Mountain Home, TN"
630,Brooklyn
632,Northport
635,Oklahoma City
642,Philadelphia
646,Pittsburgh
652,Richmond
657,St. Louis
663,Seattle
667,Shreveport
671,San Antonio
672,San Juan
673,Tampa
675,Orlando
688,Washington
691,Los Angeles
695,Milwaukee
